grant_num,funder,prj_name,website,loc_notes,y_coord,x_coord,strt_date,end_date,completed,prj_desc,rest_activity,icon,map_icon
0819-E-OR-W,Grant Soil and Water Conservation District,Camp Creek Legacy Log Weir Removal Phase 1,,,44.66433,-118.808525,4/15/2009,12/31/2011,0,"Funding to Phase 1 of the Camp Creek Log Weir Removal Project addressed legacy log weirs in Camp Creek. Placed in the 1980's the legacy weirs altered hydrology and sediment routing, and in some instances created new passage barriers. This project removed or replaced 28 log weirs to encourage a healthy pool/riffle sequence with natural stream channel characteristics.","Weir Removal, Instream Large Wood Placement",Barrier Removal,1
1003-E-OR-WF,Grant Soil and Water Conservation District,Camp Creek Log Weir Removal Project Phase II,,,44.65279,-118.826141,8/2/2010,12/31/2011,0,"Funding for phase two of the Camp Creek Log Weir Removal Project supported the removal and modification of 133 legacy log weir structures in both Lick Creek and Camp Creek. The installation of appropriate restoration structures, where legacy structures were removed, will accelerate the recovery process to more quickly decrease the width/depth ratio, create pools, capture spawning gravels, and increase sinuosity.","Weir Removal, Instream Large Wood Placement",Barrier Removal,1
0818-EP-OR-WF,USDA Forest Service- Malheur National Forest,Camp Creek Watershed Culvert Replacement,http://www.fs.usda.gov/malheur/,,44.686096,-118.796768,10/1/2008,9/30/2009,1,"The Granite Boulder Creek Culvert Replacement Project replaced two side-by-side culverts with an open bottom box culvert. This work, in addition to removal of a weir below the culverts, opened access to 4 miles of spawning and rearing habitat for Chinook salmon, mid-Columbia Steelhead and Bull trout.","Culvert Replacement, Weir Removal",Barrier Removal,1
1101-E-WA-N,Confederated Tribes and Bands of the Yakama Nation,Condit Dam Riparian Restoration ,http://www.yakamanation-nsn.gov/index.php,,45.766667,-121.516667,12/1/2011,12/1/2013,0,"Since 1913, the Condit Hydroelectric Project at rivermile 3.3 of the White Salmon River has blocked upstream access for ESA-listed salmon, steelhead and anadromous lamprey. After removal of the dam by PacifiCorp in October 2011, up to 33 miles of rearing habitat will be opened to anadromous fish. With this grant, the Yakama Nation will work with volunteers and contractors to revegetate the new riparian zone, with the goal of reduce inputs of sediment and improving habitat. ","Large Dam Removal, Riparian Planting and Revegetation, Community Engagement",Barrier Removal,1
0905-E-OR-NWF,North Fork John Day Watershed Council ,Desolation Creek Watershed Culvert Replacement,http://www.nfjdwc.org/,fixed in the GIS-not in the LAT LONG DONE,44.897305,-118.795296,5/12/2009,9/30/2011,1,"The Bruin Creek Culvert Removal Project replaced a failed, perched culvert with a new bottomless culvert bridge in 2011, opening 2 miles of spawning and 4 miles of rearing stream habitat, restoring natural channel processes and morphology, and stabilizing the roadbed to reduce future sediment loading.","Culvert Replacement, Streambank Stabilization ",Barrier Removal,1
0804-E-OR-N,Jackson County ,Gold Ray Dam Removal Sediment Study,http://www.co.jackson.or.us,,42.433333,-122.983889,7/16/2008,12/31/2009,1,"This grant funded a sediment study necessary to obtain permits for removal of the Gold Ray Dam, a defunct hydroelectric facility built in 1904. Following the study, Jackson County received $5 million from the National Oceanic and Atmospheric Administration to remove the dam. Ultimate removal of the dam in 2010 opened more than 300 miles of river and stream habitat to anadromous fish, and restored natural processes to the river and floodplain.","Baseline or Project Monitoring; Assessment, Planning, or Design",Barrier Removal,1
0801-E-OR-NF,Confederated Tribes of the Umatilla Indian Reservation ,Granite & Battle Creek Culvert Replacement,http://www.umatilla.nsn.us/salmon.html,,44.851133,-118.398533,6/30/2008,9/30/2010,1,"This project replaced two culverts; one on Battle Creek, and another on Granite Creek.  These culverts were replaced to improve fish passage, restore natural hydrologic and stream processes, and increase habitat. The creeks are now important cold-water refugia for listed and non-listed species during warm summer months.",Culvert Replacement,Barrier Removal,1
1108-E-OR-NF,North Fork John Day Watershed Council,Granite Creek Watershed Restoration,http://www.nfjdwc.org/,,44.774846,-118.457037,6/27/2011,4/30/2013,0,This effort along Granite Creek addresses the highest priority factors impacting water quality for salmonids. The Granite Creek Restoration Project will improve overall stream health and function in the Granite Creek Watershed through: the removal and replacement of eight barriers on roads that currently impede salmonid passage; assessment of the Black Jack mine settling pond function (an abandoned lode mine on Forest Service land); assessment at the Red Boy Mine (on private land) to mitigate current acid mine discharge; and noxious weed control/treatments at restoration project sites and priority areas within the watershed. ,"Culvert Removal, Culvert Replacement, Riparian Planting and Revegetation, Mine Assessment, Baseline or Project Monitoring",Barrier Removal,1
0807-EP-WA-NF,Mid-Columbia Fisheries Enhancement Group,Hemlock Dam Removal,http://midcolumbiarfeg.com/,Moved in the GIS-not in LAT LONG DONE,45.799225,-121.903641,6/11/2008,10/15/2009,1,"Funding assisted with the removal of the Hemlock Dam on Trout Creek, a tributary of the Wind River. Dam removal improved fish access to a 21,000-acre watershed with over 15 miles of potentially excellent habitat. Eliminating the reservoir also removed a major source of heating to Trout Creek waters - which typically exceeded state temperature standards more than 70 days per year - and re-established sediment movement to approximately two miles of sediment-starved reaches of lower Trout Creek.",Large Dam Removal,Barrier Removal,1
1114-E-OR-NW,Wheeler Soil and Water Conservation District,Lower Butte Creek Fish Passage,http://www.wheelerswcd.org/,GOOD,45.057222,-120.369167,8/15/2011,7/31/2013,0,"Butte Creek is a high priority watershed for steelhead spawning and rearing. To date, 17 fish passage projects have been completed within the Butte Creek watershed. Three barriers still remain in the lower reaches of Butte Creek that, once removed, will open up over 32.2 miles of identified summer steelhead spawning and rearing habitat. This project will correct the last three barriers on Lower Butte Creek by replacing three existing culverts with bridges.","Culvert Replacement, Livestock Management",Barrier Removal,1
0805-E-WA-N,Mason Conservation District,Skokomish Watershed Restoration,http://www.masoncd.org/,,47.402,-123.24,9/18/2008,12/31/2009,1,Grant funding assisted the Mason Bridge Project restoration of fish passage in Gibbons Creek in the Skokomish North Fork watershed.  A 5' diameter culvert with a 10' drop at the outlet previously eliminated fish passage and access to the upper 1.1 miles of Gibbons Creek. The culvert and road fill were removed and a 65' pre-fabricated bridge was installed and the stream was restored including construction of rock riffles and the installation of large wood.  ,"Culvert Replacement, Instream Rock Weir Placement, Instream Large Wood Placement",Barrier Removal,1
